Query1.INSTNM,Attribute,UNITID,Attribute (groups)
Adrian College,2 - Group of Interest - 8,168528,2 - Group of Interest - 8
Adrian College,4 - Competitor Group 10 Institutions,168528,4 - Competitor Group 10 Institutions (10)
Albion College,1 - Albion College,168546,1 - Albion College (1) (Only Select This to Add Color)
Albion College,2 - Group of Interest - 8,168546,2 - Group of Interest - 8
Albion College,3 - GLCA 12 Institutions,168546,3 - GLCA 12 Institutions (12)
Albion College,4 - Competitor Group 10 Institutions,168546,4 - Competitor Group 10 Institutions (10)
Albion College,5 - BS&BC 29 Institutions,168546,5 - BS&BC 29 Institutions (29)
Albion College,6 - BS&BC 30 Institutions,168546,6 - BS&BC 30 Institutions (30)
Albion College,7 - Gardner 5 Peers,168546,7 - Gardner 5 Peers (5)
Allegheny College,3 - GLCA 12 Institutions,210669,3 - GLCA 12 Institutions (12)
Allegheny College,5 - BS&BC 29 Institutions,210669,5 - BS&BC 29 Institutions (29)
Allegheny College,6 - BS&BC 30 Institutions,210669,6 - BS&BC 30 Institutions (30)
Allegheny College,7 - Gardner 5 Peers,210669,7 - Gardner 5 Peers (5)
Alma College,2 - Group of Interest - 8,168591,2 - Group of Interest - 8
Alma College,4 - Competitor Group 10 Institutions,168591,4 - Competitor Group 10 Institutions (10)
Antioch College,3 - GLCA 12 Institutions,483018,3 - GLCA 12 Institutions (12)
Austin College,5 - BS&BC 29 Institutions,222983,5 - BS&BC 29 Institutions (29)
Austin College,6 - BS&BC 30 Institutions,222983,6 - BS&BC 30 Institutions (30)
Beloit College,5 - BS&BC 29 Institutions,238333,5 - BS&BC 29 Institutions (29)
Beloit College,6 - BS&BC 30 Institutions,238333,6 - BS&BC 30 Institutions (30)
Birmingham-Southern College,5 - BS&BC 29 Institutions,100937,5 - BS&BC 29 Institutions (29)
Birmingham-Southern College,6 - BS&BC 30 Institutions,100937,6 - BS&BC 30 Institutions (30)
Central Methodist University-College of Liberal Arts and Sciences,7 - Gardner 5 Peers,176947,7 - Gardner 5 Peers (5)
Central Michigan University,4 - Competitor Group 10 Institutions,169248,4 - Competitor Group 10 Institutions (10)
Coe College,5 - BS&BC 29 Institutions,153144,5 - BS&BC 29 Institutions (29)
Coe College,6 - BS&BC 30 Institutions,153144,6 - BS&BC 30 Institutions (30)
Coe College,7 - Gardner 5 Peers,153144,7 - Gardner 5 Peers (5)
Cornell College,5 - BS&BC 29 Institutions,153162,5 - BS&BC 29 Institutions (29)
Cornell College,6 - BS&BC 30 Institutions,153162,6 - BS&BC 30 Institutions (30)
Dean College,7 - Gardner 5 Peers,165574,7 - Gardner 5 Peers (5)
Denison University,3 - GLCA 12 Institutions,202523,3 - GLCA 12 Institutions (12)
DePauw University,3 - GLCA 12 Institutions,150400,3 - GLCA 12 Institutions (12)
Earlham College,3 - GLCA 12 Institutions,150455,3 - GLCA 12 Institutions (12)
Eastern Michigan University,4 - Competitor Group 10 Institutions,169798,4 - Competitor Group 10 Institutions (10)
Grand Valley State University,4 - Competitor Group 10 Institutions,170082,4 - Competitor Group 10 Institutions (10)
Hampden-Sydney College,5 - BS&BC 29 Institutions,232256,5 - BS&BC 29 Institutions (29)
Hampden-Sydney College,6 - BS&BC 30 Institutions,232256,6 - BS&BC 30 Institutions (30)
Hanover College,5 - BS&BC 29 Institutions,150756,5 - BS&BC 29 Institutions (29)
Hanover College,6 - BS&BC 30 Institutions,150756,6 - BS&BC 30 Institutions (30)
Hendrix College,5 - BS&BC 29 Institutions,107080,5 - BS&BC 29 Institutions (29)
Hendrix College,6 - BS&BC 30 Institutions,107080,6 - BS&BC 30 Institutions (30)
Hope College,3 - GLCA 12 Institutions,170301,3 - GLCA 12 Institutions (12)
Hope College,4 - Competitor Group 10 Institutions,170301,4 - Competitor Group 10 Institutions (10)
Illinois Wesleyan University,5 - BS&BC 29 Institutions,145646,5 - BS&BC 29 Institutions (29)
Illinois Wesleyan University,6 - BS&BC 30 Institutions,145646,6 - BS&BC 30 Institutions (30)
Juniata College,5 - BS&BC 29 Institutions,213251,5 - BS&BC 29 Institutions (29)
Juniata College,6 - BS&BC 30 Institutions,213251,6 - BS&BC 30 Institutions (30)
Kalamazoo College,2 - Group of Interest - 8,170532,2 - Group of Interest - 8
Kalamazoo College,3 - GLCA 12 Institutions,170532,3 - GLCA 12 Institutions (12)
Kalamazoo College,4 - Competitor Group 10 Institutions,170532,4 - Competitor Group 10 Institutions (10)
Kalamazoo College,5 - BS&BC 29 Institutions,170532,5 - BS&BC 29 Institutions (29)
